GalaxyName,Class,RadiusKpc,RadiusFraction,aN_over_a0,StressDispersionOverRotationScale,Predicted_S_tau_contextual_v01,ContextualComponents,ModelVelocity_S_tau1,ModelVelocity_ContextualRule,AbsLogResidual_S_tau1,AbsLogResidual_ContextualRule,DeltaAbsLogResidual_ContextualMinusS1,InterpretationGuardrail
DDO154,A,0.49,0.0827703,0.0494691,2.868348251,0.980000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;very_high_stress_minus_0p08,19.892339200,19.683971333,0.365666101,0.355136074,-0.010530027,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,0.99,0.16723,0.0440568,2.235606942,0.980000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;very_high_stress_minus_0p08,27.190083895,26.900449760,0.230159029,0.219449691,-0.010709338,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,1.48,0.25,0.0368617,1.548471645,1.020000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;high_stress_minus_0p04,31.286144989,31.627608746,0.079333752,0.090188839,0.010855087,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,1.97,0.33277,0.0334508,1.174376483,1.000000000,base_1p00;low_acc_plus_0p04;high_stress_minus_0p04,34.912557403,34.912557403,0.017701221,0.017701221,0.000000000,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,2.47,0.41723,0.0295179,1.052275860,1.000000000,base_1p00;low_acc_plus_0p04;high_stress_minus_0p04,37.440154897,37.440154897,0.020091727,0.020091727,-0.000000000,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,2.96,0.5,0.0277722,1.107041166,1.000000000,base_1p00;low_acc_plus_0p04;high_stress_minus_0p04,40.127783618,40.127783618,0.045600666,0.045600666,-0.000000000,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,3.46,0.584459,0.0269119,0.931621771,1.040000000,base_1p00;low_acc_plus_0p04,42.912266606,43.886018070,0.038576139,0.016138085,-0.022438054,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,3.95,0.66723,0.0239951,0.690359071,1.040000000,base_1p00;low_acc_plus_0p04,44.048781493,45.061381513,0.049844271,0.027116367,-0.022727904,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,4.44,0.75,0.0202015,0.627438919,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,43.955368272,45.756548161,0.075447467,0.035287318,-0.040160149,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,4.94,0.834459,0.0169671,0.625561927,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,43.577383069,45.394605392,0.100820742,0.059965747,-0.040854995,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,5.43,0.91723,0.0142488,0.546388127,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,42.915599932,44.734871567,0.099386834,0.057868907,-0.041517927,contextual_s_tau_rule_post_audit_candidate_not_validation
DDO154,A,5.92,1,0.0120527,0.485259845,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,42.179364903,43.994117010,0.075781208,0.033656405,-0.042124803,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,0.12,0.019802,0.0170808,6.541669106,0.980000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;very_high_stress_minus_0p08,6.808057386,6.726994877,0.483022295,0.471043992,-0.011978303,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,0.36,0.0594059,0.0468406,3.434442532,0.980000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;very_high_stress_minus_0p08,16.739588119,16.562833188,0.576003507,0.565388267,-0.010615240,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,0.59,0.0973597,0.0590848,3.768856713,0.980000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;very_high_stress_minus_0p08,23.166086285,22.929991406,0.414836583,0.404592894,-0.010243689,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,0.83,0.136964,0.0687225,3.477536026,0.980000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;very_high_stress_minus_0p08,28.889970999,28.602831036,0.451143846,0.441155036,-0.009988810,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,1.07,0.176568,0.0731464,2.145374989,0.980000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;very_high_stress_minus_0p08,33.484280015,33.155068760,0.358340053,0.348459586,-0.009880467,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,1.31,0.216172,0.0754616,1.999156579,1.020000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;high_stress_minus_0p04,37.431687622,37.797677650,0.286748032,0.296478087,0.009730055,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,1.54,0.254125,0.0748255,1.727260413,1.020000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;high_stress_minus_0p04,40.472004254,40.868319636,0.201077200,0.210821900,0.009744700,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,1.79,0.29538,0.0751692,1.498816342,1.020000000,base_1p00;low_acc_plus_0p04;inner_plus_0p02;high_stress_minus_0p04,43.699412108,44.126981668,0.152993716,0.162730492,0.009736776,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,2.02,0.333333,0.0759727,1.354142162,1.000000000,base_1p00;low_acc_plus_0p04;high_stress_minus_0p04,46.584698380,46.584698380,0.139970152,0.139970152,0.000000000,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,2.26,0.372937,0.0734763,1.121731975,1.000000000,base_1p00;low_acc_plus_0p04;high_stress_minus_0p04,48.735674682,48.735674682,0.141624216,0.141624216,-0.000000000,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,2.49,0.410891,0.0684866,1.033458465,1.000000000,base_1p00;low_acc_plus_0p04;high_stress_minus_0p04,49.982032168,49.982032168,0.100566497,0.100566497,0.000000000,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,2.74,0.452145,0.0643421,0.802076206,1.040000000,base_1p00;low_acc_plus_0p04,51.358397867,52.390738791,0.080206236,0.100107606,0.019901370,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,2.97,0.490099,0.0624508,0.744084892,1.040000000,base_1p00;low_acc_plus_0p04,52.943507532,54.012977601,0.095943272,0.115942167,0.019998895,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,3.21,0.529703,0.0604668,0.681528951,1.040000000,base_1p00;low_acc_plus_0p04,54.453238276,55.559017342,0.109612007,0.129715518,0.020103511,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,3.44,0.567657,0.0584461,0.641313956,1.040000000,base_1p00;low_acc_plus_0p04,55.735548252,56.873572986,0.094692242,0.114904876,0.020212634,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,3.69,0.608911,0.0557282,0.486725841,1.040000000,base_1p00;low_acc_plus_0p04,56.814642009,57.983462751,0.086629126,0.106992896,0.020363770,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,3.92,0.646865,0.0534911,0.500303888,1.040000000,base_1p00;low_acc_plus_0p04,57.760838408,58.956695863,0.086019096,0.106511292,0.020492196,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,4.16,0.686469,0.0504328,0.512735420,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,58.338261114,60.470895667,0.082845156,0.118749184,0.035904028,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,4.4,0.726073,0.0477724,0.486309509,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,58.912424110,61.083399302,0.140312472,0.176500600,0.036188128,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,4.64,0.765677,0.0454744,0.462619369,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,59.498793358,61.707088745,0.142434360,0.178877142,0.036442782,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,4.87,0.80363,0.0443976,0.412301916,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,60.463182209,62.714953015,0.160452814,0.197018097,0.036565283,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,5.11,0.843234,0.0431236,0.379207550,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,61.326843390,63.620175276,0.196226474,0.232939466,0.036712992,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,5.35,0.882838,0.0411713,0.363881618,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,61.770656673,64.095487262,0.241864643,0.278810162,0.036945519,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,5.59,0.922442,0.0388994,0.340504364,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,61.931703693,64.280639000,0.214009219,0.251235476,0.037226257,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,5.82,0.960396,0.0364023,0.350925769,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,61.775733470,64.139430656,0.231690327,0.269239020,0.037548693,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2366,C,6.06,1,0.0345278,0.357267929,1.070000000,base_1p00;low_acc_plus_0p04;outer_plus_0p03,61.903740221,64.288572627,0.225630177,0.263431472,0.037801295,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.16,0.00766651,0.454641,2.693156610,0.960000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02;very_high_stress_minus_0p08,23.283340264,23.008484589,0.050935023,0.062810074,0.011875051,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.26,0.0124581,0.648264,1.138456521,1.000000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02;high_stress_minus_0p04,33.374682165,33.374682165,0.056085370,0.056085370,0.000000000,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.36,0.0172496,0.830282,0.974932430,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,42.735256258,43.113936273,0.010816242,0.001994203,-0.008822039,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.46,0.0220412,0.94614,0.916981667,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,50.567078358,50.983994236,0.027942979,0.019731974,-0.008211005,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.56,0.0268328,0.983941,0.773384140,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,56.572834043,57.028970805,0.073704269,0.065673776,-0.008030493,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.66,0.0316243,0.937525,0.791318218,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,60.375236015,60.875595911,0.086040817,0.077787468,-0.008253349,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.76,0.0364159,0.895336,0.714420280,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,63.747573497,64.289651723,0.117559627,0.109092067,-0.008467560,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.86,0.0412075,0.836404,0.673924666,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,66.220366902,66.804831840,0.119152434,0.110365096,-0.008787338,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,0.96,0.045999,0.793012,0.540437211,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,68.686676938,69.310404352,0.082585258,0.073545477,-0.009039781,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.06,0.0507906,0.762512,0.494274220,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,71.208447478,71.868509672,0.072985621,0.063758882,-0.009226739,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.16,0.0555822,0.740421,0.462493075,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,73.745467660,74.439519375,0.062479087,0.053111650,-0.009367437,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.27,0.0608529,0.72371,0.513954320,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,76.563905885,77.292950192,0.085522546,0.076045559,-0.009476987,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.36,0.0651653,0.726599,0.499502619,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,79.338087523,80.092014975,0.085269366,0.075811515,-0.009457851,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.47,0.070436,0.71648,0.425899082,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,82.091002778,82.876675908,0.062666861,0.053141612,-0.009525249,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.57,0.0752276,0.714787,0.400589262,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,84.768987671,85.581264880,0.063207696,0.053671069,-0.009536627,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.67,0.0800192,0.720392,0.392573149,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,87.659761727,88.496415340,0.062357131,0.052858061,-0.009499070,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.77,0.0848107,0.722026,0.361491720,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,90.315891810,91.176903613,0.032506674,0.023018493,-0.009488181,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.87,0.0896023,0.717045,0.364823788,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,92.613447744,93.499474231,0.027545587,0.018024129,-0.009521458,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,1.97,0.0943939,0.711406,0.383413985,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,94.802476518,95.713080328,0.024975179,0.015415742,-0.009559437,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.08,0.0996646,0.705716,0.396302235,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,97.147680582,98.084602312,0.019897140,0.010299046,-0.009598094,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.18,0.104456,0.703442,0.384796717,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,99.346508827,100.306195900,0.011607613,0.021221251,0.009613638,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.28,0.109248,0.681381,0.400748583,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,100.507792306,101.494295026,0.023229045,0.032996375,0.009767330,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.37,0.11356,0.649427,0.405068447,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,100.824589271,101.837863147,0.026376052,0.036375756,0.009999704,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.47,0.118352,0.616729,0.408998554,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,101.160485229,102.202754189,0.039937507,0.050187915,0.010250408,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.57,0.123143,0.588239,0.375389229,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,101.571365949,102.641478406,0.033755449,0.044235909,0.010480460,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.68,0.128414,0.557796,0.371978715,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,101.907637592,103.007955959,0.037060674,0.047800012,0.010739338,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.78,0.133206,0.532963,0.390793036,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,102.240609962,103.367472811,0.040322741,0.051284121,0.010961380,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.88,0.137997,0.510248,0.431732727,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,102.581672737,103.734323792,0.034529847,0.045703610,0.011173763,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,2.98,0.142789,0.490706,0.409418307,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,103.019157463,104.196556221,0.029744780,0.041108893,0.011364113,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.08,0.14758,0.475208,0.393570370,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,103.639857421,104.840737294,0.015949167,0.027469598,0.011520431,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.19,0.152851,0.459644,0.365303973,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,104.334701069,105.560736225,0.032483494,0.044165969,0.011682475,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.29,0.157643,0.449888,0.361222313,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,105.219941913,106.467482411,0.040932327,0.052719092,0.011786765,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.39,0.162434,0.441887,0.343023263,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,106.185743768,107.454100186,0.030460872,0.042334793,0.011873921,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.49,0.167226,0.433714,0.325458326,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,107.089468770,108.378437883,0.000835807,0.012800322,0.011964515,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.59,0.172017,0.423408,0.321958673,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,107.769431003,109.079298821,0.020486319,0.008405236,-0.012081083,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.69,0.176809,0.416225,0.309186978,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,108.656491313,109.986251060,0.030307421,0.018143504,-0.012163917,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.79,0.1816,0.406662,0.295772101,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,109.294349679,110.644349340,0.042153750,0.029877451,-0.012276299,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.9,0.186871,0.394391,0.318120199,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,109.777945521,111.150352120,0.072224976,0.059800816,-0.012424160,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,3.99,0.191184,0.384286,0.321040834,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,110.112491219,111.503015699,0.069182134,0.056632987,-0.012549147,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,4.47,0.214183,0.33898,0.375216169,1.040000000,base_1p00;high_acc_plus_0p02;inner_plus_0p02,111.947417670,113.429143901,0.052655349,0.039506265,-0.013149084,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,4.97,0.238141,0.29798,0.364675000,1.020000000,base_1p00;inner_plus_0p02,113.281520970,114.066108797,0.065914489,0.059012364,-0.006902125,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,5.47,0.262099,0.26269,0.319985678,1.020000000,base_1p00;inner_plus_0p02,114.170470215,114.995026906,0.082588881,0.075392682,-0.007196199,contextual_s_tau_rule_post_audit_candidate_not_validation
NGC2403,A,5.96,0.285577,0.230862,0.309609109,1.020000000,base_1p00;inner_plus_0p02,114.384348748,115.244474383,0.088749479,0.081258001,-0.007491478,contextual_s_tau_rule_post_audit_candidate_not_validation
