GalaxyName,FileName,SuggestedUse,LocalRawPath,ExpectedBytes,ActualBytes,ExpectedChecksum,ActualMD5,Status,Error,PublicPacketUse,InterpretationGuardrail
NGC5055,NGC5055-HR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-HR_coldens.fits,4222080,4222080,md5:dd5f446c0e3d4af1953067a9f50d1804,dd5f446c0e3d4af1953067a9f50d1804,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-HR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-HR_mom0m.fits,4222080,4222080,md5:87fb69c50dcf4274f6324972b8ec58d1,87fb69c50dcf4274f6324972b8ec58d1,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-HR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-HR_mom0m.fits,4236480,4236480,md5:f4037301cc9d334c9d488a4d9f0992e8,f4037301cc9d334c9d488a4d9f0992e8,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-HR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-HR_mom1m.fits,4222080,4222080,md5:31e8ea06299e767018882ce35a228e14,31e8ea06299e767018882ce35a228e14,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-LR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-LR_coldens.fits,4222080,4222080,md5:8a320b9546608dbfebd0b12191739d4f,8a320b9546608dbfebd0b12191739d4f,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-HR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-HR_mom1m.fits,4233600,4233600,md5:fcbd5b3e7fdd5271f6c72b22b5305603,fcbd5b3e7fdd5271f6c72b22b5305603,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-LR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-LR_coldens.fits,4236480,4236480,md5:93d9882c698cba3717d6fb0fb99f891c,93d9882c698cba3717d6fb0fb99f891c,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-LR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-LR_mom0m.fits,4222080,4222080,md5:2997f313eec1f7e58ddbb5e98a5aa588,2997f313eec1f7e58ddbb5e98a5aa588,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-LR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-LR_mom0m.fits,4236480,4236480,md5:be16711535e16814475210250bf2c470,be16711535e16814475210250bf2c470,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5055,NGC5055-LR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC5055-LR_mom1m.fits,4222080,4222080,md5:1ec2526bdd2a4affa1372880f52762d0,1ec2526bdd2a4affa1372880f52762d0,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC4559,NGC4559-LR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC4559-LR_mom1m.fits,4242240,4242240,md5:e27de9b2c5320b05b9181bfea6c0a002,e27de9b2c5320b05b9181bfea6c0a002,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC4559,NGC4559-LR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC4559-LR_mom0m.fits,4245120,4245120,md5:7ab549b63b9c858aa5cdde82e3c1ae82,7ab549b63b9c858aa5cdde82e3c1ae82,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC4559,NGC4559-LR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC4559-LR_coldens.fits,4245120,4245120,md5:befb277ab968daf3fc4d20a08851f668,befb277ab968daf3fc4d20a08851f668,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC4559,NGC4559-HR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC4559-HR_mom1m.fits,4242240,4242240,md5:46809fb342f4453dc1ab2ee5bf1d0812,46809fb342f4453dc1ab2ee5bf1d0812,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC4559,NGC4559-HR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC4559-HR_mom0m.fits,4242240,4242240,md5:ac8f435c2367e23801a88b5089464b48,ac8f435c2367e23801a88b5089464b48,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC2403,NGC2403-LR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC2403-LR_mom1m.fits,2664000,2664000,md5:63056b01fb5436bf172539e8746fe981,63056b01fb5436bf172539e8746fe981,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC2403,NGC2403-LR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC2403-LR_mom0m.fits,2669760,2669760,md5:c08a528347a32879148d15c18bd64249,c08a528347a32879148d15c18bd64249,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC4559,NGC4559-HR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC4559-HR_coldens.fits,4245120,4245120,md5:583d47fa2a068e8b8476e5db98460375,583d47fa2a068e8b8476e5db98460375,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-HR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-HR_coldens.fits,4236480,4236480,md5:1ecc5c4703de97abfb3033c7fad6fe83,1ecc5c4703de97abfb3033c7fad6fe83,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC2403,NGC2403-LR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC2403-LR_coldens.fits,2669760,2669760,md5:a39a2244cb66fee7d349d4b14f04e586,a39a2244cb66fee7d349d4b14f04e586,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC2403,NGC2403-HR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC2403-HR_mom1m.fits,2664000,2664000,md5:443fe766175da925cad7017991f3531f,443fe766175da925cad7017991f3531f,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC2403,NGC2403-HR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC2403-HR_mom0m.fits,2669760,2669760,md5:41211b46bf19420113b3812f1362202c,41211b46bf19420113b3812f1362202c,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC2403,NGC2403-HR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC2403-HR_coldens.fits,2669760,2669760,md5:48efb108aca7ae478f5d110b4e9f9204,48efb108aca7ae478f5d110b4e9f9204,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC3198,NGC3198-LR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC3198-LR_mom1m.fits,4233600,4233600,md5:f395e1f9c6c212ae933bb71e2a07539f,f395e1f9c6c212ae933bb71e2a07539f,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5585,NGC5585-HR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5585-HR_coldens.fits,4222080,4222080,md5:6c3470aeb48443fa63008d33e3830b0a,6c3470aeb48443fa63008d33e3830b0a,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5585,NGC5585-HR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5585-HR_mom0m.fits,4222080,4222080,md5:e267b7f4cd8ed5f0a7dbe484d70c135e,e267b7f4cd8ed5f0a7dbe484d70c135e,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5585,NGC5585-HR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC5585-HR_mom1m.fits,4222080,4222080,md5:4bc48b5ee55f8933ae030b0afb377567,4bc48b5ee55f8933ae030b0afb377567,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5585,NGC5585-LR_coldens.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5585-LR_coldens.fits,4222080,4222080,md5:b99316391c36aab8d57c96b511c784ce,b99316391c36aab8d57c96b511c784ce,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5585,NGC5585-LR_mom0m.fits,hi_distribution_context,data/raw/external_validation_sources_v01/halogas/files/NGC5585-LR_mom0m.fits,4222080,4222080,md5:6ea87cd3c4d2ea57172958db0f0688b4,6ea87cd3c4d2ea57172958db0f0688b4,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
NGC5585,NGC5585-LR_mom1m.fits,velocity_field_context,data/raw/external_validation_sources_v01/halogas/files/NGC5585-LR_mom1m.fits,4222080,4222080,md5:6ae0ce9524d014979e111ef61822a282,6ae0ce9524d014979e111ef61822a282,downloaded_verified,,derived_manifest_only,halogas_raw_fits_local_only_commit_derived_manifest_only
