GalaxyName,Class,NPoints,Median_S_tau_eff_clipped,Mean_S_tau_eff_clipped,RMSDeviationFromOne,RawFractionBelowZero,RawFractionAboveTwo,LowAccelerationMedian_S_tau,RadiusPearson_S_tau,ResidualPearson_S_tau,InterpretationGuardrail
CamB,A,9,0.000000000,0.075057093,0.935523335,0.666666667,0.000000000,0.000000000,0.799094567,-0.775137113,derived_from_vobs_not_heldout_prediction
DDO154,A,12,1.075937486,0.978937280,0.228790471,0.000000000,0.000000000,1.075937486,0.851391857,-0.844452186,derived_from_vobs_not_heldout_prediction
ESO079-G014,A,15,1.150995878,1.069347061,0.312104321,0.000000000,0.000000000,,0.469534824,-0.405391002,derived_from_vobs_not_heldout_prediction
ESO116-G012,A,15,1.278820709,1.206624508,0.282719713,0.000000000,0.000000000,1.340448091,0.736740306,0.749954923,derived_from_vobs_not_heldout_prediction
IC2574,C,34,0.764630398,0.715885212,0.323683096,0.000000000,0.000000000,0.764630398,0.753661031,-0.995358004,derived_from_vobs_not_heldout_prediction
NGC0055,C,21,0.719293901,0.639152808,0.391854999,0.000000000,0.000000000,0.740429250,0.817141813,-0.995473993,derived_from_vobs_not_heldout_prediction
NGC1705,C,14,1.832393402,1.847663068,0.851917408,0.000000000,0.142857143,1.824334688,-0.578938126,-0.007580113,derived_from_vobs_not_heldout_prediction
NGC2366,C,26,0.715690471,0.646779562,0.401911454,0.000000000,0.000000000,0.715690471,0.564606418,-0.988961322,derived_from_vobs_not_heldout_prediction
NGC2403,A,73,1.207367038,1.175262423,0.240727933,0.000000000,0.000000000,1.237984631,0.274513706,0.716052172,derived_from_vobs_not_heldout_prediction
NGC2976,C,27,0.751159293,0.661502974,0.445679876,0.111111111,0.000000000,,0.839526045,-0.940339858,derived_from_vobs_not_heldout_prediction
NGC3109,C,25,1.312652669,1.253270966,0.339442629,0.000000000,0.000000000,1.312652669,0.935988022,0.864045864,derived_from_vobs_not_heldout_prediction
NGC3198,A,43,0.984559896,0.884337924,0.323785845,0.069767442,0.000000000,0.986102484,0.345298577,-0.898154866,derived_from_vobs_not_heldout_prediction
NGC3741,C,21,1.381071587,1.251725122,0.374494852,0.000000000,0.000000000,1.381071587,0.835716588,0.504264911,derived_from_vobs_not_heldout_prediction
NGC3917,A,17,1.059575651,1.005804562,0.290985908,0.058823529,0.000000000,1.059575651,0.263161244,-0.752560851,derived_from_vobs_not_heldout_prediction
NGC3972,A,10,1.204107773,1.096387305,0.283862963,0.000000000,0.000000000,,0.368875647,-0.666514551,derived_from_vobs_not_heldout_prediction
NGC4183,A,23,0.930379308,1.005573253,0.158176280,0.000000000,0.000000000,0.906131063,-0.705274527,0.393084454,derived_from_vobs_not_heldout_prediction
NGC4559,A,32,0.705353000,0.675047405,0.353470324,0.000000000,0.000000000,0.749138603,0.743013369,-0.850976318,derived_from_vobs_not_heldout_prediction
NGC5055,C,28,0.648740343,0.472227148,0.625284370,0.214285714,0.000000000,0.805557140,0.878923338,-0.576184749,derived_from_vobs_not_heldout_prediction
NGC5585,A,24,0.873246096,0.743144987,0.426759209,0.000000000,0.000000000,1.079713503,0.796398157,-0.963700001,derived_from_vobs_not_heldout_prediction
NGC6503,A,31,1.108212568,1.093233627,0.244047573,0.000000000,0.000000000,1.127825411,0.247770132,0.472959429,derived_from_vobs_not_heldout_prediction
NGC7331,A,36,0.648834576,0.568425017,0.556069005,0.222222222,0.000000000,,0.930258835,-0.922382043,derived_from_vobs_not_heldout_prediction
UGC00128,A,22,1.174767124,1.204143484,0.284767890,0.000000000,0.000000000,1.174767124,-0.335698622,0.798326526,derived_from_vobs_not_heldout_prediction
UGC00191,A,9,1.093121010,1.175329380,0.302568594,0.000000000,0.000000000,0.938809666,-0.470237207,0.951137775,derived_from_vobs_not_heldout_prediction
UGC00731,C,12,1.388491633,1.377285836,0.591857491,0.000000000,0.250000000,1.388491633,-0.979579829,0.940629518,derived_from_vobs_not_heldout_prediction
UGC02455,C,8,0.000000000,0.021617083,0.980053172,0.875000000,0.000000000,,0.577893918,-0.693146698,derived_from_vobs_not_heldout_prediction
UGC03580,C,47,0.136507326,0.411589281,0.764065769,0.468085106,0.021276596,1.042444863,0.739278287,-0.694985667,derived_from_vobs_not_heldout_prediction
UGC04305,C,22,0.088900754,0.199539749,0.829268046,0.227272727,0.000000000,0.073299611,-0.572981033,-0.877719596,derived_from_vobs_not_heldout_prediction
UGC04325,C,8,1.602770242,1.630288848,0.697514378,0.000000000,0.250000000,1.576568551,-0.943908468,0.984588482,derived_from_vobs_not_heldout_prediction
UGC04499,C,9,0.866874180,0.813991112,0.264207556,0.000000000,0.000000000,0.873393288,0.398333957,-0.999478286,derived_from_vobs_not_heldout_prediction
UGC05253,C,73,0.909625686,0.931779084,0.349722308,0.000000000,0.054794521,0.969044637,0.178100354,0.550649308,derived_from_vobs_not_heldout_prediction
UGC05716,A,12,1.205239693,1.181893635,0.231903930,0.000000000,0.000000000,1.205239693,-0.939208643,0.995686229,derived_from_vobs_not_heldout_prediction
UGC05764,A,10,1.588826013,1.588143016,0.675463370,0.000000000,0.100000000,1.588826013,-0.967935934,0.961344955,derived_from_vobs_not_heldout_prediction
UGC05829,C,11,0.915455901,1.022275997,0.254745435,0.000000000,0.000000000,0.915455901,-0.911563451,0.553375935,derived_from_vobs_not_heldout_prediction
UGC05918,C,8,1.098758861,1.171714172,0.271669824,0.000000000,0.000000000,1.098758861,-0.803550265,0.974465871,derived_from_vobs_not_heldout_prediction
UGC06446,C,17,1.319528740,1.364701482,0.450581848,0.000000000,0.000000000,1.319528740,-0.841761564,0.994451037,derived_from_vobs_not_heldout_prediction
UGC06818,C,8,0.762041444,0.655839153,0.539108689,0.000000000,0.000000000,0.979829599,0.915153029,-0.978411760,derived_from_vobs_not_heldout_prediction
UGC06917,C,11,1.117176316,1.120702249,0.170971550,0.000000000,0.000000000,1.092975399,0.087924308,0.674244657,derived_from_vobs_not_heldout_prediction
UGC06973,C,9,0.331954703,0.425281361,0.713784393,0.444444444,0.000000000,,0.939805953,-0.851004373,derived_from_vobs_not_heldout_prediction
UGC07323,C,10,0.729309947,0.711920838,0.309773598,0.000000000,0.000000000,,0.845111374,-0.999153420,derived_from_vobs_not_heldout_prediction
UGC07399,C,10,2.000000000,1.965001306,0.967124648,0.000000000,0.600000000,1.987350094,0.261198623,0.904327534,derived_from_vobs_not_heldout_prediction
UGC07577,C,9,0.122044561,0.199943482,0.821009825,0.000000000,0.000000000,0.122044561,-0.300002570,-0.984582468,derived_from_vobs_not_heldout_prediction
UGC07603,C,12,1.379891839,1.258226965,0.392124675,0.000000000,0.000000000,1.438490564,0.815643283,0.264739121,derived_from_vobs_not_heldout_prediction
UGC08490,C,30,1.395464182,1.426577267,0.444290321,0.000000000,0.000000000,1.351607367,-0.778119890,0.796646166,derived_from_vobs_not_heldout_prediction
UGC08837,C,8,0.385018020,0.408796423,0.622980183,0.000000000,0.000000000,0.385018020,0.933958242,-0.984683456,derived_from_vobs_not_heldout_prediction
UGC12632,C,15,1.136672933,1.100242236,0.203862520,0.000000000,0.000000000,1.136672933,-0.833793822,0.666000906,derived_from_vobs_not_heldout_prediction
