GalaxyName,Class,Projection_RMS,AbsFinalMeanSignedResidual,MaxAbsCumulativeMeanResidual,SignImbalance,MaxSameSignRunFraction,HistoryDeltaRMS_HistoryMinusS1,HistoryImprovement_PositiveIsBetter,Median_S_tau_eff_clipped,TauCoreSignalCandidateScore_v01,InterpretationGuardrail
CamB,A,0.963585384,0.914034998,1.386657527,1.000000000,1.000000000,-0.225535469,0.225535469,0.000000000,0.854545455,tau_core_signal_candidate_not_attribution_or_proof
DDO154,A,0.138812041,0.015609254,0.365666101,0.333333333,0.666666667,-0.004593425,0.004593425,1.075937486,0.213636364,tau_core_signal_candidate_not_attribution_or_proof
ESO079-G014,A,0.116776650,0.023903266,0.104414536,0.466666667,0.666666667,0.000482269,-0.000482269,1.150995878,0.136363636,tau_core_signal_candidate_not_attribution_or_proof
ESO116-G012,A,0.118483994,0.087400328,0.087400328,0.600000000,0.800000000,-0.008566997,0.008566997,1.278820709,0.254545455,tau_core_signal_candidate_not_attribution_or_proof
IC2574,C,0.221285260,0.186301949,0.508875693,1.000000000,1.000000000,-0.072542889,0.072542889,0.764630398,0.718181818,tau_core_signal_candidate_not_attribution_or_proof
NGC0055,C,0.204516651,0.188681855,0.395332399,1.000000000,1.000000000,-0.053194637,0.053194637,0.719293901,0.681818182,tau_core_signal_candidate_not_attribution_or_proof
NGC1705,C,0.354417125,0.350111963,0.457663102,1.000000000,1.000000000,-0.071876804,0.071876804,1.832393402,0.759090909,tau_core_signal_candidate_not_attribution_or_proof
NGC2366,C,0.250878781,0.211342066,0.529512901,1.000000000,1.000000000,-0.068583227,0.068583227,0.715690471,0.759090909,tau_core_signal_candidate_not_attribution_or_proof
NGC2403,A,0.084927422,0.063210375,0.071621434,0.616438356,0.534246575,-0.007521637,0.007521637,1.207367038,0.168181818,tau_core_signal_candidate_not_attribution_or_proof
NGC2976,C,0.239111203,0.149556322,0.745539420,0.925925926,0.925925926,-0.043934169,0.043934169,0.751159293,0.663636364,tau_core_signal_candidate_not_attribution_or_proof
NGC3109,C,0.175872342,0.128416526,0.128416526,0.680000000,0.800000000,-0.015482205,0.015482205,1.312652669,0.363636364,tau_core_signal_candidate_not_attribution_or_proof
NGC3198,A,0.156224718,0.050659103,0.761150844,0.255813953,0.255813953,-0.010839463,0.010839463,0.984559896,0.304545455,tau_core_signal_candidate_not_attribution_or_proof
NGC3741,C,0.204417844,0.137722705,0.224780340,0.714285714,0.857142857,-0.016395628,0.016395628,1.381071587,0.440909091,tau_core_signal_candidate_not_attribution_or_proof
NGC3917,A,0.143599282,0.008894630,0.536797399,0.411764706,0.529411765,0.003294398,-0.003294398,1.059575651,0.209090909,tau_core_signal_candidate_not_attribution_or_proof
NGC3972,A,0.101666153,0.033354209,0.240550723,0.800000000,0.900000000,0.004990066,-0.004990066,1.204107773,0.309090909,tau_core_signal_candidate_not_attribution_or_proof
NGC4183,A,0.067793794,0.004923983,0.100379495,0.217391304,0.608695652,-0.002697030,0.002697030,0.930379308,0.063636364,tau_core_signal_candidate_not_attribution_or_proof
NGC4559,A,0.133934337,0.130098087,0.227956694,1.000000000,1.000000000,-0.026275712,0.026275712,0.705353000,0.600000000,tau_core_signal_candidate_not_attribution_or_proof
NGC5055,C,0.117536453,0.116494987,0.174382020,1.000000000,1.000000000,-0.016613861,0.016613861,0.648740343,0.536363636,tau_core_signal_candidate_not_attribution_or_proof
NGC5585,A,0.173858350,0.101723376,0.243496697,0.333333333,0.666666667,-0.016196731,0.016196731,0.873246096,0.327272727,tau_core_signal_candidate_not_attribution_or_proof
NGC6503,A,0.072498887,0.047796563,0.189238889,0.806451613,0.870967742,-0.004395525,0.004395525,1.108212568,0.290909091,tau_core_signal_candidate_not_attribution_or_proof
NGC7331,A,0.098042642,0.086335928,0.181968036,0.944444444,0.944444444,-0.009450179,0.009450179,0.648834576,0.409090909,tau_core_signal_candidate_not_attribution_or_proof
UGC00128,A,0.138644763,0.103579831,0.164505954,0.909090909,0.954545455,-0.018659044,0.018659044,1.174767124,0.463636364,tau_core_signal_candidate_not_attribution_or_proof
UGC00191,A,0.124355499,0.070366381,0.112198658,0.333333333,0.555555556,-0.005054232,0.005054232,1.093121010,0.154545455,tau_core_signal_candidate_not_attribution_or_proof
UGC00731,C,0.339703437,0.210013035,0.678249550,0.333333333,0.666666667,-0.064232350,0.064232350,1.388491633,0.563636364,tau_core_signal_candidate_not_attribution_or_proof
UGC02455,C,0.793075490,0.766182963,0.954220490,1.000000000,1.000000000,-0.122155059,0.122155059,0.000000000,0.895454545,tau_core_signal_candidate_not_attribution_or_proof
UGC03580,C,0.280295930,0.207662602,0.344927063,0.744680851,0.872340426,-0.016862038,0.016862038,0.136507326,0.531818182,tau_core_signal_candidate_not_attribution_or_proof
UGC04305,C,0.595364038,0.549799788,1.209710424,1.000000000,1.000000000,-0.114417574,0.114417574,0.088900754,0.895454545,tau_core_signal_candidate_not_attribution_or_proof
UGC04325,C,0.284250584,0.256220303,0.407862458,1.000000000,1.000000000,-0.054299046,0.054299046,1.602770242,0.777272727,tau_core_signal_candidate_not_attribution_or_proof
UGC04499,C,0.137445134,0.096146716,0.362850841,1.000000000,1.000000000,-0.008549198,0.008549198,0.866874180,0.581818182,tau_core_signal_candidate_not_attribution_or_proof
UGC05253,C,0.080485995,0.013041384,0.602863058,0.287671233,0.575342466,-0.000211898,0.000211898,0.909625686,0.222727273,tau_core_signal_candidate_not_attribution_or_proof
UGC05716,A,0.113234582,0.090702888,0.214401710,0.666666667,0.750000000,-0.024604485,0.024604485,1.205239693,0.377272727,tau_core_signal_candidate_not_attribution_or_proof
UGC05764,A,0.329468364,0.282744392,0.610889255,1.000000000,1.000000000,-0.071537557,0.071537557,1.588826013,0.850000000,tau_core_signal_candidate_not_attribution_or_proof
UGC05829,C,0.138511849,0.011351180,0.196952604,0.090909091,0.545454545,-0.007737096,0.007737096,0.915455901,0.122727273,tau_core_signal_candidate_not_attribution_or_proof
UGC05918,C,0.142410680,0.090353387,0.216113546,0.500000000,0.750000000,-0.020915894,0.020915894,1.098758861,0.359090909,tau_core_signal_candidate_not_attribution_or_proof
UGC06446,C,0.194477890,0.162087165,0.271772121,0.882352941,0.941176471,-0.042054478,0.042054478,1.319528740,0.577272727,tau_core_signal_candidate_not_attribution_or_proof
UGC06818,C,0.308337913,0.197344531,0.497954915,0.500000000,0.625000000,-0.042780757,0.042780757,0.762041444,0.504545455,tau_core_signal_candidate_not_attribution_or_proof
UGC06917,C,0.071490152,0.052493396,0.062632196,0.818181818,0.909090909,-0.005361733,0.005361733,1.117176316,0.290909091,tau_core_signal_candidate_not_attribution_or_proof
UGC06973,C,0.212731540,0.155543868,0.456107413,0.777777778,0.888888889,-0.008680637,0.008680637,0.331954703,0.500000000,tau_core_signal_candidate_not_attribution_or_proof
UGC07323,C,0.146477589,0.135135774,0.205318235,1.000000000,1.000000000,-0.030551798,0.030551798,0.729309947,0.654545455,tau_core_signal_candidate_not_attribution_or_proof
UGC07399,C,0.397297780,0.394230355,0.394230355,1.000000000,1.000000000,-0.076992767,0.076992767,2.000000000,0.845454545,tau_core_signal_candidate_not_attribution_or_proof
UGC07577,C,0.654467132,0.634542779,0.660596676,1.000000000,1.000000000,-0.158801292,0.158801292,0.122044561,0.936363636,tau_core_signal_candidate_not_attribution_or_proof
UGC07603,C,0.180772538,0.118550725,0.233390654,0.666666667,0.833333333,-0.009509202,0.009509202,1.379891839,0.395454545,tau_core_signal_candidate_not_attribution_or_proof
UGC08490,C,0.186480775,0.184786180,0.257932475,1.000000000,1.000000000,-0.043746183,0.043746183,1.395464182,0.754545455,tau_core_signal_candidate_not_attribution_or_proof
UGC08837,C,0.439660106,0.397132098,0.803801822,1.000000000,1.000000000,-0.103104235,0.103104235,0.385018020,0.950000000,tau_core_signal_candidate_not_attribution_or_proof
UGC12632,C,0.105256872,0.048576173,0.127492602,0.333333333,0.666666667,-0.010913252,0.010913252,1.136672933,0.231818182,tau_core_signal_candidate_not_attribution_or_proof
