GalaxyName,SurveyTable,AsymmetryA,AsymmetryASplit,AsymmetryAMedianCutoff,Lopsidedness,SmoothnessS,Ellipticity,GM,WHISP_HolwerdaMorphologyBurden_v01,MorphologyBurdenSplit,MorphologyBurdenMedianCutoff,W_tau_eff_score_resolved_v01,W_tau_eff_abs_v01,W_tau_eff_signed_v01,ScoreSource,CandidateConfidenceTier,ReadoutUse,InterpretationGuardrail
UGC00731,Swaters2002_WHISP,0.647785680245,low,0.916886439,1.41421356237,0.204955062309,0.413466757074,0.453856873257,0.670105265,low,0.714811835,0.563636364,0.210013035,0.210013035,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC01281,Swaters2002_WHISP,0.507947202618,low,0.916886439,1.41421356237,0.149479446631,0.70255233498,0.587206728751,0.693548137,low,0.714811835,0.209090909,0.013184891,0.013184891,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC02455,Swaters2002_WHISP,0.672580822374,low,0.916886439,1.41421356237,0.129332788143,0.22044575501,0.442703983659,0.609143232,low,0.714811835,0.895454545,0.766182963,-0.766182963,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC04305,Swaters2002_WHISP,1.09205602043,high,0.916886439,1.41421356237,0.216606242116,0.13637151502,0.420407064048,0.714811835,low,0.714811835,0.895454545,0.549799788,-0.549799788,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC04325,Swaters2002_WHISP,0.924658412223,high,0.916886439,1.41421356237,0.197623013017,0.28834970716,0.402447789035,0.706211174,low,0.714811835,0.777272727,0.256220303,0.256220303,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC04499,Swaters2002_WHISP,0.713615661639,low,0.916886439,1.41421356237,0.227384076876,0.307576009745,0.426475415564,0.665697328,low,0.714811835,0.581818182,0.096146716,-0.096146716,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC05721,Swaters2002_WHISP,0.62774033267,low,0.916886439,1.37067420397,0.139578224714,0.509272710328,0.472635187735,0.661816368,low,0.714811835,0.663636364,0.266742093,0.266742093,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC05829,Swaters2002_WHISP,1.08941876391,high,0.916886439,1.41421356237,0.176046555264,0.217568755754,0.468776302718,0.724311909,high,0.714811835,0.122727273,0.011351180,0.011351180,frozen_original_w_tau_eff_seed,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC05918,Swaters2002_WHISP,1.93027225579,high,0.916886439,1.39696730783,0.275511389748,0.354591061504,0.453535634346,0.989335504,high,0.714811835,0.359090909,0.090353387,0.090353387,frozen_original_w_tau_eff_seed,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC06446,Swaters2002_WHISP,0.702582531786,low,0.916886439,1.38048966432,0.22199334692,0.273328888235,0.422547817504,0.644598608,low,0.714811835,0.577272727,0.162087165,0.162087165,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC07323,Swaters2002_WHISP,0.740465812747,low,0.916886439,1.41421356237,0.171648905065,0.255075410255,0.4562688592,0.645350923,low,0.714811835,0.654545455,0.135135774,-0.135135774,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC07399,Swaters2002_WHISP,1.08447075308,high,0.916886439,1.38088448014,0.252788786754,0.380708694339,0.495822994805,0.774713179,high,0.714811835,0.845454545,0.394230355,0.394230355,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC07524,Swaters2002_WHISP,0.610287285265,low,0.916886439,1.40300975958,0.0972317209717,0.243595565118,0.437936457936,0.588531083,low,0.714811835,0.159090909,0.001100785,-0.001100785,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC07577,Swaters2002_WHISP,2.0,high,0.916886439,1.40563490885,0.170904614306,0.130284660169,0.565574674639,0.926706046,high,0.714811835,0.936363636,0.634542779,-0.634542779,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC07603,Swaters2002_WHISP,0.91688643863,low,0.916886439,1.41421356237,0.13524419258,0.810483941042,0.837746013221,0.819207034,high,0.714811835,0.395454545,0.118550725,0.118550725,frozen_original_w_tau_eff_seed,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC08490,Swaters2002_WHISP,0.923798600302,high,0.916886439,1.41421356237,0.311686659126,0.231802453824,0.466282056799,0.720375319,high,0.714811835,0.754545455,0.184786180,0.184786180,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC08837,Swaters2002_WHISP,0.975738636351,high,0.916886439,1.41421356237,0.23393461246,0.498463861481,0.56454025334,0.780587668,high,0.714811835,0.950000000,0.397132098,-0.397132098,frozen_original_w_tau_eff_seed,high_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC12632,Swaters2002_WHISP,1.15242954763,high,0.916886439,1.39407688335,0.174449183731,0.276415014248,0.419430591679,0.749342657,high,0.714811835,0.231818182,0.048576173,0.048576173,frozen_original_w_tau_eff_seed,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC12732,Swaters2002_WHISP,0.587690057456,low,0.916886439,1.41421356237,0.140430756459,0.172242321491,0.388869226271,0.578644174,low,0.714811835,0.350000000,0.095181835,0.095181835,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC02487,Noordermeer2005_WHISP,1.08634641608,high,0.916886439,1.38738726784,0.305071905075,0.672749872487,0.859162237208,0.862888865,high,0.714811835,0.627272727,0.206903998,0.206903998,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC03580,Noordermeer2005_WHISP,0.967760468589,high,0.916886439,1.37563634707,0.382193553055,0.556235059441,0.507712473772,0.820456357,high,0.714811835,0.531818182,0.207662602,-0.207662602,frozen_original_w_tau_eff_seed,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC05253,Noordermeer2005_WHISP,1.46031430764,high,0.916886439,1.3523188934,0.526796526106,0.186433852688,0.724730053592,0.881465895,high,0.714811835,0.222727273,0.013041384,0.013041384,frozen_original_w_tau_eff_seed,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC06786,Noordermeer2005_WHISP,0.841732550534,low,0.916886439,1.4132188953,0.107987183731,0.882440817699,0.916170974403,0.811344862,high,0.714811835,0.554545455,0.156290850,0.156290850,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,medium_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC09133,Noordermeer2005_WHISP,0.631897875129,low,0.916886439,1.38872117584,0.0907615571029,0.440233832799,0.469614062033,0.637903610,low,0.714811835,0.181818182,0.004885213,0.004885213,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
UGC11914,Noordermeer2005_WHISP,0.456675130907,low,0.916886439,1.41421356237,0.144440585642,0.0518831117106,0.462425719436,0.516803098,low,0.714811835,0.400000000,0.119996451,0.119996451,expanded_yu2022_rotmod_scoring_frozen_w_tau_eff_calibration,low_or_control_candidate,WHISP_Holwerda2011_morphology_vs_W_tau_eff_no_refit,whisp_holwerda2011_morphology_readout_no_velocity_endpoint_no_refit
